Date,Time,Visitors in Blue Lagoon,Visitors in Machu Picchu,Visitors in Taj Mahal,Visitors in Doge's Palace,Visitors in Louvre Museum,Average Age - Blue Lagoon,Average Age - Machu Picchu,Average Age - Taj Mahal,Average Age - Doge's Palace,Average Age - Louvre Museum
2022-01-01,8:00,3397,3130,43795,4236,24935,29,27,25,27,53
2022-01-01,10:00,4317,2932,28860,4106,21356,27,29,32,25,42
2022-01-01,12:00,3236,3464,33390,4603,27270,32,26,25,27,54
2022-01-01,14:00,4750,3453,39964,3564,27164,23,24,28,24,44
2022-01-01,16:00,3889,3549,39284,5589,28624,35,32,25,43,50
2022-01-01,18:00,5001,3614,65734,5841,27157,33,30,30,45,54
2022-01-02,8:00,4186,3596,66265,5847,28246,25,31,29,30,42
2022-01-02,10:00,3703,3441,44850,5779,29951,29,26,28,20,34
2022-01-02,12:00,4226,3452,32426,4444,25812,34,34,30,28,53
2022-01-02,14:00,3862,3679,42423,5320,26653,32,33,30,25,32
2022-01-02,16:00,3657,2942,39363,4848,28858,30,31,30,42,53
2022-01-02,18:00,3563,2829,44023,4269,27649,32,27,31,40,45
2022-01-03,8:00,3334,2750,68322,5773,20511,30,33,24,27,46
2022-01-03,10:00,3573,3322,61685,5455,28441,31,33,34,28,46
2022-01-03,12:00,4455,3378,28769,5152,20888,23,29,24,19,29
2022-01-03,14:00,3238,2886,30433,5084,22063,34,26,23,19,49
2022-01-03,16:00,3618,3738,33311,5602,27023,22,22,26,41,28
2022-01-03,18:00,3646,3665,33051,5623,26598,30,28,30,45,29
2022-01-04,8:00,3635,3747,34420,5509,0,23,33,23,24,0
2022-01-04,10:00,3694,3428,61184,5828,0,24,24,32,22,0
2022-01-04,12:00,4584,3434,64555,5790,0,30,22,25,28,0
2022-01-04,14:00,4584,3017,34396,4891,0,28,26,29,20,0
2022-01-04,16:00,4748,2895,36666,5307,0,32,29,24,45,0
2022-01-04,18:00,3167,3493,30747,3641,0,33,29,32,35,0
2022-01-05,8:00,3264,3088,28189,4440,26315,34,30,32,29,27
2022-01-05,10:00,4451,2848,31005,4110,22064,35,29,29,30,36
2022-01-05,12:00,3953,2646,64658,5501,29950,28,29,28,20,54
2022-01-05,14:00,4743,3266,61899,4759,27317,23,27,23,25,45
2022-01-05,16:00,4015,3791,29267,5705,28441,27,32,29,42,50
2022-01-05,18:00,5178,3407,39394,5819,27384,31,23,23,30,44
2022-01-06,8:00,4355,3521,31556,5995,27845,22,26,28,28,27
2022-01-06,10:00,3780,3739,31890,5698,29569,29,32,28,29,54
2022-01-06,12:00,5124,3574,36838,3825,27242,29,22,29,21,33
2022-01-06,14:00,3796,3399,65393,5779,24329,27,26,27,26,41
2022-01-06,16:00,4378,3796,68792,4890,21925,30,25,27,37,35
2022-01-06,18:00,3986,2950,38555,4197,23395,22,27,32,34,40
2022-01-07,8:00,4758,3056,38253,5981,20019,22,25,30,29,33
2022-01-07,10:00,3426,3335,36433,3290,20440,22,34,28,19,36
2022-01-07,12:00,4658,3354,38233,5414,25231,34,34,28,24,32
2022-01-07,14:00,4322,2515,39016,3406,28743,33,29,23,27,36
2022-01-07,16:00,3815,3732,67513,5781,29943,24,34,27,36,46
2022-01-07,18:00,4995,3594,62612,5564,26006,31,27,24,32,31
2022-01-08,8:00,5186,3408,43787,5875,27586,26,34,32,30,28
2022-01-08,10:00,4985,3715,40206,5503,22586,25,33,23,29,47
2022-01-08,12:00,3711,3733,36226,4380,26825,33,33,31,29,42
2022-01-08,14:00,3652,2832,42541,4992,23824,32,27,32,19,45
2022-01-08,16:00,3955,2826,31152,5994,21268,27,23,30,31,48
2022-01-08,18:00,4392,2514,61585,5805,27615,31,35,27,45,27
2022-01-09,8:00,3783,3425,63943,5101,23436,30,25,27,19,28
2022-01-09,10:00,3338,2924,29021,5205,28089,27,32,27,25,50
2022-01-09,12:00,3430,3289,39653,3594,20752,34,35,24,23,39
2022-01-09,14:00,3783,3607,38805,4297,29769,23,34,33,27,32
2022-01-09,16:00,3452,3512,41417,5686,27310,30,23,27,45,37
2022-01-09,18:00,5059,3400,35989,5561,27627,32,29,26,34,51
2022-01-10,8:00,4160,3665,69692,5836,29177,27,24,33,22,43
2022-01-10,10:00,5045,3607,66873,5663,27036,34,26,24,20,39
2022-01-10,12:00,4926,3509,33675,4791,27169,28,32,27,25,46
2022-01-10,14:00,3271,3211,28161,5870,20951,25,30,34,21,43
2022-01-10,16:00,3021,3568,32297,3929,20477,32,22,27,39,33
2022-01-10,18:00,4300,3484,28995,3439,28906,30,22,28,41,46
2022-01-11,8:00,3261,2805,39534,5780,0,25,22,34,21,0
2022-01-11,10:00,4694,2511,67629,5640,0,30,26,31,24,0
2022-01-11,12:00,4380,3544,69467,3338,0,27,34,23,22,0
2022-01-11,14:00,4005,2964,29016,5706,0,28,27,24,30,0
2022-01-11,16:00,3324,3587,36529,5569,0,31,29,28,33,0
2022-01-11,18:00,4340,3553,37268,5884,0,23,32,26,31,0
2022-01-12,8:00,3760,3767,40185,5617,26381,30,23,28,25,51
2022-01-12,10:00,4140,3733,34331,5697,27180,23,29,32,27,51
2022-01-12,12:00,4225,3776,68571,5704,28999,27,34,24,22,39
2022-01-12,14:00,4814,3370,68684,4949,21845,24,33,29,28,41
2022-01-12,16:00,4758,2633,35208,3767,27300,24,35,28,38,48
2022-01-12,18:00,3305,3464,33276,4181,25617,22,25,23,30,37
2022-01-13,8:00,3575,3626,44448,4004,29910,26,26,33,24,38
2022-01-13,10:00,3201,2524,44216,4910,29292,34,24,33,30,27
2022-01-13,12:00,3432,3029,36006,4081,28909,25,32,34,19,50
2022-01-13,14:00,3568,2689,62568,5999,29621,31,29,26,22,27
2022-01-13,16:00,4474,3540,65463,5961,26317,22,31,28,31,42
2022-01-13,18:00,4545,3442,30027,5627,26533,35,35,26,32,44
2022-01-14,8:00,4731,3733,30695,5930,25448,28,27,26,19,54
2022-01-14,10:00,4899,3683,43422,5877,27608,31,31,34,30,27
2022-01-14,12:00,3779,3545,33258,3524,27776,28,35,30,22,39
2022-01-14,14:00,4948,2814,34736,3641,28103,26,25,23,25,46
2022-01-14,16:00,3492,2943,60391,5791,22284,34,23,34,44,36
2022-01-14,18:00,3783,3518,65892,5535,21244,22,26,29,45,38
2022-01-15,8:00,3994,2940,31561,3425,21333,33,27,23,30,37
2022-01-15,10:00,3374,2591,34184,4287,28483,31,23,30,28,30
2022-01-15,12:00,2922,3378,36392,4166,23669,30,32,31,29,44
2022-01-15,14:00,3426,2555,41067,3759,27200,24,23,33,24,35
2022-01-15,16:00,3643,3554,43265,5701,27794,31,26,34,39,52
2022-01-15,18:00,4027,3559,63104,5997,29291,24,29,26,45,44
2022-01-16,8:00,4706,3510,67215,5836,28085,32,24,28,22,35
2022-01-16,10:00,4364,3536,30454,5913,28701,26,34,30,20,35
2022-01-16,12:00,4231,3631,39837,5307,27411,22,25,32,28,36
2022-01-16,14:00,2864,3667,42039,3456,21454,23,25,33,25,46
2022-01-16,16:00,4504,3231,38965,3776,21933,25,27,34,42,39
2022-01-16,18:00,4614,2980,37762,5486,20746,33,23,23,40,39
2022-01-17,8:00,3627,2567,65056,5788,27370,34,32,32,22,50
2022-01-17,10:00,3817,3448,68110,3237,29032,26,22,28,28,28
2022-01-17,12:00,4124,3493,41773,5272,27973,29,25,31,19,46
2022-01-17,14:00,4011,2822,28502,3609,27593,24,34,32,27,49
2022-01-17,16:00,2906,3791,34910,5960,28495,28,26,25,42,32
2022-01-17,18:00,5171,3405,40685,5558,27518,23,24,29,36,43
2022-01-18,8:00,4258,3679,28206,5975,0,23,28,25,24,0
2022-01-18,10:00,4885,3493,65134,5916,0,30,34,24,28,0
2022-01-18,12:00,4782,3668,65977,5604,0,33,27,25,26,0
2022-01-18,14:00,3464,3208,43934,3582,0,33,29,31,20,0
2022-01-18,16:00,4691,3036,36755,5032,0,30,24,31,42,0
2022-01-18,18:00,2954,3347,40383,3768,0,27,34,24,37,0
2022-01-19,8:00,4236,2617,42820,4271,26927,30,34,23,26,43
2022-01-19,10:00,4520,3349,35574,3632,21267,22,33,34,28,35
2022-01-19,12:00,4095,2866,66374,5930,29742,33,22,28,26,38
2022-01-19,14:00,4721,3265,66892,3255,28273,22,28,27,22,42
2022-01-19,16:00,4820,3700,29678,5564,28512,25,27,29,43,48
2022-01-19,18:00,4592,3769,29059,5767,28790,35,34,23,45,29
2022-01-20,8:00,3844,3574,44198,5568,28690,28,27,34,21,46
2022-01-20,10:00,4923,3718,37914,5715,29778,26,28,32,30,38
2022-01-20,12:00,4985,3475,38817,5247,26292,22,28,33,22,38
2022-01-20,14:00,4577,2994,69789,5889,26864,27,26,34,27,43
2022-01-20,16:00,4744,3313,62693,4824,24022,35,34,33,33,34
2022-01-20,18:00,3585,2610,41931,3456,29596,27,25,25,44,52
2022-01-21,8:00,3958,3260,31627,3871,26948,31,34,28,23,40
2022-01-21,10:00,3213,3638,44157,3689,21648,33,25,26,24,31
2022-01-21,12:00,4501,3214,38173,5993,25171,25,29,27,27,46
2022-01-21,14:00,4973,2646,38230,5296,27397,35,35,24,25,39
2022-01-21,16:00,3914,3434,65592,5646,27693,22,23,27,45,30
2022-01-21,18:00,4358,3708,67392,5815,29434,35,25,31,44,41
2022-01-22,8:00,4346,3425,29306,5990,28614,28,29,33,30,28
2022-01-22,10:00,4192,3637,34776,5912,28884,30,30,31,30,36
2022-01-22,12:00,4979,3413,37474,3633,27037,29,24,29,29,33
2022-01-22,14:00,4748,2873,35526,4225,23852,23,30,25,30,38
2022-01-22,16:00,4038,3056,33530,5175,25459,22,30,27,39,53
2022-01-22,18:00,3215,2927,64413,5644,29754,35,27,30,45,53
2022-01-23,8:00,4192,3432,63748,5179,29304,24,35,34,19,30
2022-01-23,10:00,4268,3204,41545,4589,27048,35,26,33,20,38
2022-01-23,12:00,4544,3062,28663,3619,24250,35,25,25,24,36
2022-01-23,14:00,3450,3639,29998,4796,28088,28,35,33,28,33
2022-01-23,16:00,4549,3674,35994,5772,29375,28,30,33,44,28
2022-01-23,18:00,3747,3737,31304,5548,27291,32,26,27,40,36
2022-01-24,8:00,3954,3475,63763,5831,27161,31,32,25,19,51
2022-01-24,10:00,4859,3619,65232,5943,27029,22,27,25,25,44
2022-01-24,12:00,4302,3747,41808,3633,26241,33,29,32,27,45
2022-01-24,14:00,3812,3455,34585,5890,23912,22,24,27,24,28
2022-01-24,16:00,2904,3488,39649,4778,20978,31,33,27,44,41
2022-01-24,18:00,4697,3414,29636,5304,28709,33,27,25,42,31
2022-01-25,8:00,4985,3039,32737,4163,0,26,34,24,26,0
2022-01-25,10:00,3595,3390,60854,5964,0,24,29,28,26,0
2022-01-25,12:00,4669,3452,68164,3245,0,34,35,23,26,0
2022-01-25,14:00,3805,2625,33855,4393,0,22,25,33,23,0
2022-01-25,16:00,4443,3576,35392,5770,0,22,31,28,34,0
2022-01-25,18:00,4450,3436,41949,5916,0,29,28,25,45,0
